"","Artist","Song","Album","Year","Sales","word","n","duration_ms","popularity","speechiness","danceability","tempo"
"201","2pac","Changes","Greatest Hits",2011,5330000,"live",117,NA,NA,NA,NA,NA
"202","2pac","Changes","Greatest Hits",2011,5330000,"treat",4,NA,NA,NA,NA,NA
"203","2pac","Changes","Greatest Hits",2011,5330000,"old",35,NA,NA,NA,NA,NA
"204","2pac","Changes","Greatest Hits",2011,5330000,"wasn't",31,NA,NA,NA,NA,NA
"205","2pac","Changes","Greatest Hits",2011,5330000,"working",3,NA,NA,NA,NA,NA
"206","2pac","Changes","Greatest Hits",2011,5330000,"survivem",1,NA,NA,NA,NA,NA
"207","2pac","Changes","Greatest Hits",2011,5330000,"still",150,NA,NA,NA,NA,NA
"208","2pac","Changes","Greatest Hits",2011,5330000,"can't",225,NA,NA,NA,NA,NA
"209","2pac","Changes","Greatest Hits",2011,5330000,"little",94,NA,NA,NA,NA,NA
"210","2pac","Changes","Greatest Hits",2011,5330000,"peace",59,NA,NA,NA,NA,NA
"211","2pac","Changes","Greatest Hits",2011,5330000,"there's",53,NA,NA,NA,NA,NA
"212","2pac","Changes","Greatest Hits",2011,5330000,"war",71,NA,NA,NA,NA,NA
"213","2pac","Changes","Greatest Hits",2011,5330000,"streets",66,NA,NA,NA,NA,NA
"214","2pac","Changes","Greatest Hits",2011,5330000,"middle",16,NA,NA,NA,NA,NA
"215","2pac","Changes","Greatest Hits",2011,5330000,"east",5,NA,NA,NA,NA,NA
"216","2pac","Changes","Greatest Hits",2011,5330000,"poverty",3,NA,NA,NA,NA,NA
"217","2pac","Changes","Greatest Hits",2011,5330000,"they",655,NA,NA,NA,NA,NA
"218","2pac","Changes","Greatest Hits",2011,5330000,"drugs",9,NA,NA,NA,NA,NA
"219","2pac","Changes","Greatest Hits",2011,5330000,"police",45,NA,NA,NA,NA,NA
"220","2pac","Changes","Greatest Hits",2011,5330000,"bother",5,NA,NA,NA,NA,NA
"221","2pac","Changes","Greatest Hits",2011,5330000,"did",53,NA,NA,NA,NA,NA
"222","2pac","Changes","Greatest Hits",2011,5330000,"crime",21,NA,NA,NA,NA,NA
"223","2pac","Changes","Greatest Hits",2011,5330000,"have",79,NA,NA,NA,NA,NA
"224","2pac","Changes","Greatest Hits",2011,5330000,"facts",6,NA,NA,NA,NA,NA
"225","2pac","Changes","Greatest Hits",2011,5330000,"givin",23,NA,NA,NA,NA,NA
"226","2pac","Changes","Greatest Hits",2011,5330000,"jack",13,NA,NA,NA,NA,NA
"227","2pac","Changes","Greatest Hits",2011,5330000,"pimps",5,NA,NA,NA,NA,NA
"228","2pac","Changes","Greatest Hits",2011,5330000,"smack",2,NA,NA,NA,NA,NA
"229","2pac","Changes","Greatest Hits",2011,5330000,"hold",59,NA,NA,NA,NA,NA
"230","2pac","Changes","Greatest Hits",2011,5330000,"ya",328,NA,NA,NA,NA,NA
"231","2pac","Changes","Greatest Hits",2011,5330000,"own",42,NA,NA,NA,NA,NA
"232","2pac","Changes","Greatest Hits",2011,5330000,"jealous",38,NA,NA,NA,NA,NA
"233","2pac","Changes","Greatest Hits",2011,5330000,"mobile",2,NA,NA,NA,NA,NA
"234","2pac","Changes","Greatest Hits",2011,5330000,"phone",23,NA,NA,NA,NA,NA
"235","2pac","Changes","Greatest Hits",2011,5330000,"touch",28,NA,NA,NA,NA,NA
"236","2pac","Changes","Greatest Hits",2011,5330000,"trust",32,NA,NA,NA,NA,NA
"237","2pac","Changes","Greatest Hits",2011,5330000,"rush",18,NA,NA,NA,NA,NA
"238","2pac","Changes","Greatest Hits",2011,5330000,"bust",52,NA,NA,NA,NA,NA
"239","2pac","Changes","Greatest Hits",2011,5330000,"sound",15,NA,NA,NA,NA,NA
"240","2pac","Changes","Greatest Hits",2011,5330000,"tool",1,NA,NA,NA,NA,NA
"241","2pac","Changes","Greatest Hits",2011,5330000,"say",113,NA,NA,NA,NA,NA
"242","2pac","Changes","Greatest Hits",2011,5330000,"cool",23,NA,NA,NA,NA,NA
"243","2pac","Changes","Greatest Hits",2011,5330000,"mama",87,NA,NA,NA,NA,NA
"244","2pac","Changes","Greatest Hits",2011,5330000,"didn't",42,NA,NA,NA,NA,NA
"245","2pac","Changes","Greatest Hits",2011,5330000,"raise",14,NA,NA,NA,NA,NA
"246","2pac","Changes","Greatest Hits",2011,5330000,"fool",25,NA,NA,NA,NA,NA
"247","2pac","Changes","Greatest Hits",2011,5330000,"long",47,NA,NA,NA,NA,NA
"248","2pac","Changes","Greatest Hits",2011,5330000,"stay",60,NA,NA,NA,NA,NA
"249","2pac","Changes","Greatest Hits",2011,5330000,"strapped",18,NA,NA,NA,NA,NA
"250","2pac","Changes","Greatest Hits",2011,5330000,"lay",13,NA,NA,NA,NA,NA
"251","2pac","Changes","Greatest Hits",2011,5330000,"always",47,NA,NA,NA,NA,NA
